step,t,delta_norm_mean,delta_norm_std,cos_prev_mean,cos_prev_std,vc_norm_mean,vu_norm_mean,subj,action,seed
0,0.0,8.661919593811035,1.8014881610870361,nan,nan,220.4852752685547,220.81146240234375,S10,box,0
1,0.019999999552965164,8.98743724822998,1.6318103075027466,0.9576333165168762,0.03030463680624962,220.88546752929688,221.2232666015625,S10,box,0
2,0.03999999910593033,9.293866157531738,1.3807644844055176,0.9542757868766785,0.021037643775343895,221.2729034423828,221.63668823242188,S10,box,0
3,0.05999999865889549,9.532658576965332,1.6837730407714844,0.9360955357551575,0.03227083757519722,221.59512329101562,221.98480224609375,S10,box,0
4,0.07999999821186066,9.324064254760742,2.2033259868621826,0.9142847061157227,0.051964543759822845,221.91261291503906,222.3238067626953,S10,box,0
5,0.10000000149011612,8.281885147094727,1.6348100900650024,0.8952733278274536,0.05040866136550903,222.18719482421875,222.63064575195312,S10,box,0
6,0.11999999731779099,7.661051273345947,1.0984482765197754,0.8815481066703796,0.07274137437343597,222.46084594726562,222.9352264404297,S10,box,0
7,0.14000000059604645,7.481750965118408,0.9363758563995361,0.9124493598937988,0.04855389520525932,222.74293518066406,223.23660278320312,S10,box,0
8,0.1599999964237213,7.528780460357666,1.0263011455535889,0.937609851360321,0.020905442535877228,223.0087127685547,223.5051727294922,S10,box,0
9,0.18000000715255737,7.624111175537109,1.0807392597198486,0.940815269947052,0.02625197358429432,223.2281494140625,223.71551513671875,S10,box,0
10,0.20000000298023224,7.5246148109436035,1.042804479598999,0.9507591128349304,0.014956521801650524,223.4354248046875,223.92724609375,S10,box,0
11,0.2199999988079071,7.215609073638916,0.9676204919815063,0.955620288848877,0.01385099720209837,223.4513397216797,223.9093017578125,S10,box,0
12,0.23999999463558197,6.942142486572266,0.8575477004051208,0.9557879567146301,0.017931075766682625,223.43630981445312,223.86354064941406,S10,box,0
13,0.25999999046325684,6.680577278137207,0.7438411712646484,0.9614056348800659,0.014721507206559181,223.45574951171875,223.8496856689453,S10,box,0
14,0.2800000011920929,6.393902778625488,0.6525009274482727,0.9643906354904175,0.009408070705831051,223.4371337890625,223.7786865234375,S10,box,0
15,0.30000001192092896,6.176851272583008,0.5620116591453552,0.9656866788864136,0.008851484395563602,223.37818908691406,223.67300415039062,S10,box,0
16,0.3199999928474426,6.013289451599121,0.5117301940917969,0.9677760004997253,0.006911338306963444,223.3511199951172,223.59283447265625,S10,box,0
17,0.3400000035762787,5.840341091156006,0.4753875434398651,0.9705148935317993,0.005497235804796219,223.29605102539062,223.49105834960938,S10,box,0
18,0.36000001430511475,5.687491416931152,0.4289068877696991,0.9730971455574036,0.005527940113097429,223.29708862304688,223.4468231201172,S10,box,0
19,0.3799999952316284,5.552667140960693,0.4265456199645996,0.9752688407897949,0.005150743294507265,223.2446746826172,223.34759521484375,S10,box,0
20,0.4000000059604645,5.426259517669678,0.41441968083381653,0.9754355549812317,0.005771673750132322,223.2238311767578,223.28652954101562,S10,box,0
21,0.41999998688697815,5.36071252822876,0.39461979269981384,0.9777401685714722,0.004713840316981077,223.21182250976562,223.2383270263672,S10,box,0
22,0.4399999976158142,5.250522136688232,0.40596017241477966,0.9783669710159302,0.0032006558030843735,223.20330810546875,223.18966674804688,S10,box,0
