step,t,delta_norm_mean,delta_norm_std,cos_prev_mean,cos_prev_std,vc_norm_mean,vu_norm_mean,subj,action,seed
0,0.0,0.0,0.0,nan,nan,222.7668914794922,222.7668914794922,S10,box,2
1,0.012500000186264515,0.0,0.0,0.0,0.0,223.01312255859375,223.01312255859375,S10,box,2
2,0.02500000037252903,0.0,0.0,0.0,0.0,223.21572875976562,223.21572875976562,S10,box,2
3,0.03750000149011612,0.0,0.0,0.0,0.0,223.4077606201172,223.4077606201172,S10,box,2
4,0.05000000074505806,0.0,0.0,0.0,0.0,223.5196533203125,223.5196533203125,S10,box,2
5,0.0625,0.0,0.0,0.0,0.0,223.65298461914062,223.65298461914062,S10,box,2
6,0.07500000298023224,0.0,0.0,0.0,0.0,223.72769165039062,223.72769165039062,S10,box,2
7,0.08749999850988388,0.0,0.0,0.0,0.0,223.79653930664062,223.79653930664062,S10,box,2
8,0.10000000149011612,0.0,0.0,0.0,0.0,223.88458251953125,223.88458251953125,S10,box,2
9,0.11249999701976776,0.0,0.0,0.0,0.0,223.9449920654297,223.9449920654297,S10,box,2
10,0.125,0.0,0.0,0.0,0.0,224.0293731689453,224.0293731689453,S10,box,2
11,0.13750000298023224,0.0,0.0,0.0,0.0,224.12423706054688,224.12423706054688,S10,box,2
12,0.15000000596046448,0.0,0.0,0.0,0.0,224.27325439453125,224.27325439453125,S10,box,2
13,0.16249999403953552,0.0,0.0,0.0,0.0,224.38418579101562,224.38418579101562,S10,box,2
14,0.17499999701976776,0.0,0.0,0.0,0.0,224.4705352783203,224.4705352783203,S10,box,2
15,0.1875,0.0,0.0,0.0,0.0,224.65036010742188,224.65036010742188,S10,box,2
16,0.20000000298023224,0.0,0.0,0.0,0.0,224.7416229248047,224.7416229248047,S10,box,2
17,0.21250000596046448,0.0,0.0,0.0,0.0,224.8247528076172,224.8247528076172,S10,box,2
18,0.22499999403953552,0.0,0.0,0.0,0.0,224.95252990722656,224.95252990722656,S10,box,2
19,0.23749999701976776,0.0,0.0,0.0,0.0,225.00392150878906,225.00392150878906,S10,box,2
20,0.25,0.0,0.0,0.0,0.0,225.076171875,225.076171875,S10,box,2
21,0.26249998807907104,0.0,0.0,0.0,0.0,225.07440185546875,225.07440185546875,S10,box,2
22,0.2750000059604645,0.0,0.0,0.0,0.0,225.0064239501953,225.0064239501953,S10,box,2
23,0.2874999940395355,0.0,0.0,0.0,0.0,225.00057983398438,225.00057983398438,S10,box,2
24,0.30000001192092896,0.0,0.0,0.0,0.0,225.0474090576172,225.0474090576172,S10,box,2
25,0.3125,0.0,0.0,0.0,0.0,225.0303955078125,225.0303955078125,S10,box,2
26,0.32499998807907104,0.0,0.0,0.0,0.0,224.9803009033203,224.9803009033203,S10,box,2
27,0.3375000059604645,0.0,0.0,0.0,0.0,224.96429443359375,224.96429443359375,S10,box,2
28,0.3499999940395355,0.0,0.0,0.0,0.0,224.93104553222656,224.93104553222656,S10,box,2
29,0.36250001192092896,0.0,0.0,0.0,0.0,224.9024200439453,224.9024200439453,S10,box,2
30,0.375,0.0,0.0,0.0,0.0,224.89247131347656,224.89247131347656,S10,box,2
31,0.38749998807907104,0.0,0.0,0.0,0.0,224.8549346923828,224.8549346923828,S10,box,2
32,0.4000000059604645,0.0,0.0,0.0,0.0,224.83023071289062,224.83023071289062,S10,box,2
33,0.4124999940395355,0.0,0.0,0.0,0.0,224.7980194091797,224.7980194091797,S10,box,2
34,0.42500001192092896,0.0,0.0,0.0,0.0,224.7637481689453,224.7637481689453,S10,box,2
35,0.4375,0.0,0.0,0.0,0.0,224.7357177734375,224.7357177734375,S10,box,2
36,0.44999998807907104,0.0,0.0,0.0,0.0,224.68301391601562,224.68301391601562,S10,box,2
37,0.4625000059604645,0.0,0.0,0.0,0.0,224.6206512451172,224.6206512451172,S10,box,2
38,0.4749999940395355,0.0,0.0,0.0,0.0,224.5825958251953,224.5825958251953,S10,box,2
39,0.48750001192092896,0.0,0.0,0.0,0.0,224.531982421875,224.531982421875,S10,box,2
40,0.5,0.0,0.0,0.0,0.0,224.4922637939453,224.4922637939453,S10,box,2
41,0.512499988079071,0.0,0.0,0.0,0.0,224.43751525878906,224.43751525878906,S10,box,2
42,0.5249999761581421,0.0,0.0,0.0,0.0,224.3939666748047,224.3939666748047,S10,box,2
43,0.5375000238418579,0.0,0.0,0.0,0.0,224.33416748046875,224.33416748046875,S10,box,2
44,0.550000011920929,0.0,0.0,0.0,0.0,224.25100708007812,224.25100708007812,S10,box,2
45,0.5625,0.0,0.0,0.0,0.0,224.17813110351562,224.17813110351562,S10,box,2
46,0.574999988079071,0.0,0.0,0.0,0.0,224.13882446289062,224.13882446289062,S10,box,2
47,0.5874999761581421,0.0,0.0,0.0,0.0,224.0691680908203,224.0691680908203,S10,box,2
48,0.6000000238418579,0.0,0.0,0.0,0.0,224.0098419189453,224.0098419189453,S10,box,2
49,0.612500011920929,0.0,0.0,0.0,0.0,223.96827697753906,223.96827697753906,S10,box,2
50,0.625,0.0,0.0,0.0,0.0,223.91323852539062,223.91323852539062,S10,box,2
51,0.637499988079071,0.0,0.0,0.0,0.0,223.86468505859375,223.86468505859375,S10,box,2
52,0.6499999761581421,0.0,0.0,0.0,0.0,223.84423828125,223.84423828125,S10,box,2
53,0.6625000238418579,0.0,0.0,0.0,0.0,223.8094482421875,223.8094482421875,S10,box,2
54,0.675000011920929,0.0,0.0,0.0,0.0,223.76358032226562,223.76358032226562,S10,box,2
55,0.6875,0.0,0.0,0.0,0.0,223.73385620117188,223.73385620117188,S10,box,2
56,0.699999988079071,0.0,0.0,0.0,0.0,223.71994018554688,223.71994018554688,S10,box,2
57,0.7124999761581421,0.0,0.0,0.0,0.0,223.68679809570312,223.68679809570312,S10,box,2
58,0.7250000238418579,0.0,0.0,0.0,0.0,223.63600158691406,223.63600158691406,S10,box,2
59,0.737500011920929,0.0,0.0,0.0,0.0,223.5840301513672,223.5840301513672,S10,box,2
60,0.75,0.0,0.0,0.0,0.0,223.51934814453125,223.51934814453125,S10,box,2
61,0.762499988079071,0.0,0.0,0.0,0.0,223.46173095703125,223.46173095703125,S10,box,2
62,0.7749999761581421,0.0,0.0,0.0,0.0,223.3907012939453,223.3907012939453,S10,box,2
63,0.7875000238418579,0.0,0.0,0.0,0.0,223.3060760498047,223.3060760498047,S10,box,2
64,0.800000011920929,0.0,0.0,0.0,0.0,223.21115112304688,223.21115112304688,S10,box,2
65,0.8125,0.0,0.0,0.0,0.0,223.07391357421875,223.07391357421875,S10,box,2
66,0.824999988079071,0.0,0.0,0.0,0.0,222.9220733642578,222.9220733642578,S10,box,2
67,0.8374999761581421,0.0,0.0,0.0,0.0,222.7609405517578,222.7609405517578,S10,box,2
68,0.8500000238418579,0.0,0.0,0.0,0.0,222.58905029296875,222.58905029296875,S10,box,2
69,0.862500011920929,0.0,0.0,0.0,0.0,222.39581298828125,222.39581298828125,S10,box,2
70,0.875,0.0,0.0,0.0,0.0,222.17916870117188,222.17916870117188,S10,box,2
71,0.887499988079071,0.0,0.0,0.0,0.0,221.97647094726562,221.97647094726562,S10,box,2
72,0.8999999761581421,0.0,0.0,0.0,0.0,221.775390625,221.775390625,S10,box,2
73,0.9125000238418579,0.0,0.0,0.0,0.0,221.5811004638672,221.5811004638672,S10,box,2
74,0.925000011920929,0.0,0.0,0.0,0.0,221.36123657226562,221.36123657226562,S10,box,2
75,0.9375,0.0,0.0,0.0,0.0,221.11788940429688,221.11788940429688,S10,box,2
76,0.949999988079071,0.0,0.0,0.0,0.0,220.68484497070312,220.68484497070312,S10,box,2
77,0.9624999761581421,0.0,0.0,0.0,0.0,219.7630615234375,219.7630615234375,S10,box,2
78,0.9750000238418579,0.0,0.0,0.0,0.0,217.53721618652344,217.53721618652344,S10,box,2
79,0.987500011920929,0.0,0.0,0.0,0.0,209.46255493164062,209.46255493164062,S10,box,2
0,0.0,0.0,0.0,nan,nan,223.08010864257812,223.08010864257812,S10,jump,12
1,0.012500000186264515,0.0,0.0,0.0,0.0,223.3026123046875,223.3026123046875,S10,jump,12
2,0.02500000037252903,0.0,0.0,0.0,0.0,223.53604125976562,223.53604125976562,S10,jump,12
3,0.03750000149011612,0.0,0.0,0.0,0.0,223.7019805908203,223.7019805908203,S10,jump,12
4,0.05000000074505806,0.0,0.0,0.0,0.0,223.85858154296875,223.85858154296875,S10,jump,12
5,0.0625,0.0,0.0,0.0,0.0,223.95106506347656,223.95106506347656,S10,jump,12
6,0.07500000298023224,0.0,0.0,0.0,0.0,223.99716186523438,223.99716186523438,S10,jump,12
7,0.08749999850988388,0.0,0.0,0.0,0.0,224.0463409423828,224.0463409423828,S10,jump,12
8,0.10000000149011612,0.0,0.0,0.0,0.0,224.06350708007812,224.06350708007812,S10,jump,12
9,0.11249999701976776,0.0,0.0,0.0,0.0,224.0923309326172,224.0923309326172,S10,jump,12
10,0.125,0.0,0.0,0.0,0.0,224.10279846191406,224.10279846191406,S10,jump,12
11,0.13750000298023224,0.0,0.0,0.0,0.0,224.164794921875,224.164794921875,S10,jump,12
12,0.15000000596046448,0.0,0.0,0.0,0.0,224.21597290039062,224.21597290039062,S10,jump,12
13,0.16249999403953552,0.0,0.0,0.0,0.0,224.2784423828125,224.2784423828125,S10,jump,12
14,0.17499999701976776,0.0,0.0,0.0,0.0,224.40301513671875,224.40301513671875,S10,jump,12
15,0.1875,0.0,0.0,0.0,0.0,224.50123596191406,224.50123596191406,S10,jump,12
16,0.20000000298023224,0.0,0.0,0.0,0.0,224.6433868408203,224.6433868408203,S10,jump,12
17,0.21250000596046448,0.0,0.0,0.0,0.0,224.734375,224.734375,S10,jump,12
18,0.22499999403953552,0.0,0.0,0.0,0.0,224.80856323242188,224.80856323242188,S10,jump,12
19,0.23749999701976776,0.0,0.0,0.0,0.0,224.82687377929688,224.82687377929688,S10,jump,12
20,0.25,0.0,0.0,0.0,0.0,224.8045196533203,224.8045196533203,S10,jump,12
21,0.26249998807907104,0.0,0.0,0.0,0.0,224.78799438476562,224.78799438476562,S10,jump,12
22,0.2750000059604645,0.0,0.0,0.0,0.0,224.80850219726562,224.80850219726562,S10,jump,12
23,0.2874999940395355,0.0,0.0,0.0,0.0,224.8314208984375,224.8314208984375,S10,jump,12
24,0.30000001192092896,0.0,0.0,0.0,0.0,224.8701934814453,224.8701934814453,S10,jump,12
25,0.3125,0.0,0.0,0.0,0.0,224.8369903564453,224.8369903564453,S10,jump,12
26,0.32499998807907104,0.0,0.0,0.0,0.0,224.84130859375,224.84130859375,S10,jump,12
27,0.3375000059604645,0.0,0.0,0.0,0.0,224.811767578125,224.811767578125,S10,jump,12
28,0.3499999940395355,0.0,0.0,0.0,0.0,224.7223358154297,224.7223358154297,S10,jump,12
29,0.36250001192092896,0.0,0.0,0.0,0.0,224.71392822265625,224.71392822265625,S10,jump,12
30,0.375,0.0,0.0,0.0,0.0,224.68959045410156,224.68959045410156,S10,jump,12
31,0.38749998807907104,0.0,0.0,0.0,0.0,224.68603515625,224.68603515625,S10,jump,12
32,0.4000000059604645,0.0,0.0,0.0,0.0,224.68707275390625,224.68707275390625,S10,jump,12
33,0.4124999940395355,0.0,0.0,0.0,0.0,224.69607543945312,224.69607543945312,S10,jump,12
34,0.42500001192092896,0.0,0.0,0.0,0.0,224.6779327392578,224.6779327392578,S10,jump,12
35,0.4375,0.0,0.0,0.0,0.0,224.6870880126953,224.6870880126953,S10,jump,12
36,0.44999998807907104,0.0,0.0,0.0,0.0,224.6712188720703,224.6712188720703,S10,jump,12
37,0.4625000059604645,0.0,0.0,0.0,0.0,224.6336212158203,224.6336212158203,S10,jump,12
38,0.4749999940395355,0.0,0.0,0.0,0.0,224.58758544921875,224.58758544921875,S10,jump,12
39,0.48750001192092896,0.0,0.0,0.0,0.0,224.5478973388672,224.5478973388672,S10,jump,12
40,0.5,0.0,0.0,0.0,0.0,224.52874755859375,224.52874755859375,S10,jump,12
41,0.512499988079071,0.0,0.0,0.0,0.0,224.50161743164062,224.50161743164062,S10,jump,12
42,0.5249999761581421,0.0,0.0,0.0,0.0,224.46115112304688,224.46115112304688,S10,jump,12
43,0.5375000238418579,0.0,0.0,0.0,0.0,224.4114227294922,224.4114227294922,S10,jump,12
44,0.550000011920929,0.0,0.0,0.0,0.0,224.36500549316406,224.36500549316406,S10,jump,12
45,0.5625,0.0,0.0,0.0,0.0,224.34616088867188,224.34616088867188,S10,jump,12
46,0.574999988079071,0.0,0.0,0.0,0.0,224.29232788085938,224.29232788085938,S10,jump,12
47,0.5874999761581421,0.0,0.0,0.0,0.0,224.2370147705078,224.2370147705078,S10,jump,12
48,0.6000000238418579,0.0,0.0,0.0,0.0,224.19332885742188,224.19332885742188,S10,jump,12
49,0.612500011920929,0.0,0.0,0.0,0.0,224.1495361328125,224.1495361328125,S10,jump,12
50,0.625,0.0,0.0,0.0,0.0,224.1016845703125,224.1016845703125,S10,jump,12
51,0.637499988079071,0.0,0.0,0.0,0.0,224.0542449951172,224.0542449951172,S10,jump,12
52,0.6499999761581421,0.0,0.0,0.0,0.0,224.01193237304688,224.01193237304688,S10,jump,12
53,0.6625000238418579,0.0,0.0,0.0,0.0,223.97943115234375,223.97943115234375,S10,jump,12
54,0.675000011920929,0.0,0.0,0.0,0.0,223.93727111816406,223.93727111816406,S10,jump,12
55,0.6875,0.0,0.0,0.0,0.0,223.9077606201172,223.9077606201172,S10,jump,12
56,0.699999988079071,0.0,0.0,0.0,0.0,223.85040283203125,223.85040283203125,S10,jump,12
57,0.7124999761581421,0.0,0.0,0.0,0.0,223.8155059814453,223.8155059814453,S10,jump,12
58,0.7250000238418579,0.0,0.0,0.0,0.0,223.77337646484375,223.77337646484375,S10,jump,12
59,0.737500011920929,0.0,0.0,0.0,0.0,223.7201690673828,223.7201690673828,S10,jump,12
60,0.75,0.0,0.0,0.0,0.0,223.6773681640625,223.6773681640625,S10,jump,12
61,0.762499988079071,0.0,0.0,0.0,0.0,223.60548400878906,223.60548400878906,S10,jump,12
62,0.7749999761581421,0.0,0.0,0.0,0.0,223.54151916503906,223.54151916503906,S10,jump,12
63,0.7875000238418579,0.0,0.0,0.0,0.0,223.4686279296875,223.4686279296875,S10,jump,12
64,0.800000011920929,0.0,0.0,0.0,0.0,223.3534698486328,223.3534698486328,S10,jump,12
65,0.8125,0.0,0.0,0.0,0.0,223.2500762939453,223.2500762939453,S10,jump,12
66,0.824999988079071,0.0,0.0,0.0,0.0,223.12106323242188,223.12106323242188,S10,jump,12
67,0.8374999761581421,0.0,0.0,0.0,0.0,222.97592163085938,222.97592163085938,S10,jump,12
68,0.8500000238418579,0.0,0.0,0.0,0.0,222.8173828125,222.8173828125,S10,jump,12
69,0.862500011920929,0.0,0.0,0.0,0.0,222.6612548828125,222.6612548828125,S10,jump,12
70,0.875,0.0,0.0,0.0,0.0,222.49945068359375,222.49945068359375,S10,jump,12
71,0.887499988079071,0.0,0.0,0.0,0.0,222.32257080078125,222.32257080078125,S10,jump,12
72,0.8999999761581421,0.0,0.0,0.0,0.0,222.1900634765625,222.1900634765625,S10,jump,12
73,0.9125000238418579,0.0,0.0,0.0,0.0,222.05508422851562,222.05508422851562,S10,jump,12
74,0.925000011920929,0.0,0.0,0.0,0.0,221.8770751953125,221.8770751953125,S10,jump,12
75,0.9375,0.0,0.0,0.0,0.0,221.6746826171875,221.6746826171875,S10,jump,12
76,0.949999988079071,0.0,0.0,0.0,0.0,221.30255126953125,221.30255126953125,S10,jump,12
77,0.9624999761581421,0.0,0.0,0.0,0.0,220.4564208984375,220.4564208984375,S10,jump,12
78,0.9750000238418579,0.0,0.0,0.0,0.0,218.3850860595703,218.3850860595703,S10,jump,12
79,0.987500011920929,0.0,0.0,0.0,0.0,210.75498962402344,210.75498962402344,S10,jump,12
0,0.0,0.0,0.0,nan,nan,222.95545959472656,222.95545959472656,S10,run,22
1,0.012500000186264515,0.0,0.0,0.0,0.0,223.2161865234375,223.2161865234375,S10,run,22
2,0.02500000037252903,0.0,0.0,0.0,0.0,223.4221649169922,223.4221649169922,S10,run,22
3,0.03750000149011612,0.0,0.0,0.0,0.0,223.61874389648438,223.61874389648438,S10,run,22
4,0.05000000074505806,0.0,0.0,0.0,0.0,223.75860595703125,223.75860595703125,S10,run,22
5,0.0625,0.0,0.0,0.0,0.0,223.91871643066406,223.91871643066406,S10,run,22
6,0.07500000298023224,0.0,0.0,0.0,0.0,224.02655029296875,224.02655029296875,S10,run,22
7,0.08749999850988388,0.0,0.0,0.0,0.0,224.12464904785156,224.12464904785156,S10,run,22
8,0.10000000149011612,0.0,0.0,0.0,0.0,224.2002716064453,224.2002716064453,S10,run,22
9,0.11249999701976776,0.0,0.0,0.0,0.0,224.28298950195312,224.28298950195312,S10,run,22
10,0.125,0.0,0.0,0.0,0.0,224.38885498046875,224.38885498046875,S10,run,22
11,0.13750000298023224,0.0,0.0,0.0,0.0,224.54306030273438,224.54306030273438,S10,run,22
12,0.15000000596046448,0.0,0.0,0.0,0.0,224.6962890625,224.6962890625,S10,run,22
13,0.16249999403953552,0.0,0.0,0.0,0.0,224.88937377929688,224.88937377929688,S10,run,22
14,0.17499999701976776,0.0,0.0,0.0,0.0,225.0803680419922,225.0803680419922,S10,run,22
15,0.1875,0.0,0.0,0.0,0.0,225.1674041748047,225.1674041748047,S10,run,22
16,0.20000000298023224,0.0,0.0,0.0,0.0,225.25489807128906,225.25489807128906,S10,run,22
17,0.21250000596046448,0.0,0.0,0.0,0.0,225.44219970703125,225.44219970703125,S10,run,22
18,0.22499999403953552,0.0,0.0,0.0,0.0,225.51922607421875,225.51922607421875,S10,run,22
19,0.23749999701976776,0.0,0.0,0.0,0.0,225.5357666015625,225.5357666015625,S10,run,22
20,0.25,0.0,0.0,0.0,0.0,225.58724975585938,225.58724975585938,S10,run,22
21,0.26249998807907104,0.0,0.0,0.0,0.0,225.61280822753906,225.61280822753906,S10,run,22
22,0.2750000059604645,0.0,0.0,0.0,0.0,225.6921844482422,225.6921844482422,S10,run,22
23,0.2874999940395355,0.0,0.0,0.0,0.0,225.75257873535156,225.75257873535156,S10,run,22
