step,t,delta_norm_mean,delta_norm_std,cos_prev_mean,cos_prev_std,vc_norm_mean,vu_norm_mean,subj,action,seed
0,0.0,0.0,0.0,nan,nan,222.9792938232422,222.9792938232422,S10,box,1
1,0.03333333507180214,0.0,0.0,0.0,0.0,223.58221435546875,223.58221435546875,S10,box,1
2,0.06666667014360428,0.0,0.0,0.0,0.0,223.9304656982422,223.9304656982422,S10,box,1
3,0.10000000149011612,0.0,0.0,0.0,0.0,224.12002563476562,224.12002563476562,S10,box,1
4,0.13333334028720856,0.0,0.0,0.0,0.0,224.3052520751953,224.3052520751953,S10,box,1
5,0.1666666716337204,0.0,0.0,0.0,0.0,224.6129150390625,224.6129150390625,S10,box,1
6,0.20000000298023224,0.0,0.0,0.0,0.0,224.8418731689453,224.8418731689453,S10,box,1
7,0.23333333432674408,0.0,0.0,0.0,0.0,224.99560546875,224.99560546875,S10,box,1
8,0.2666666805744171,0.0,0.0,0.0,0.0,225.1390380859375,225.1390380859375,S10,box,1
9,0.30000001192092896,0.0,0.0,0.0,0.0,225.1416015625,225.1416015625,S10,box,1
10,0.3333333432674408,0.0,0.0,0.0,0.0,225.06512451171875,225.06512451171875,S10,box,1
11,0.36666667461395264,0.0,0.0,0.0,0.0,224.91958618164062,224.91958618164062,S10,box,1
12,0.4000000059604645,0.0,0.0,0.0,0.0,224.8337860107422,224.8337860107422,S10,box,1
13,0.4333333373069763,0.0,0.0,0.0,0.0,224.73477172851562,224.73477172851562,S10,box,1
14,0.46666666865348816,0.0,0.0,0.0,0.0,224.6961669921875,224.6961669921875,S10,box,1
15,0.5,0.0,0.0,0.0,0.0,224.6230010986328,224.6230010986328,S10,box,1
16,0.5333333611488342,0.0,0.0,0.0,0.0,224.5186004638672,224.5186004638672,S10,box,1
17,0.5666666626930237,0.0,0.0,0.0,0.0,224.3907012939453,224.3907012939453,S10,box,1
18,0.6000000238418579,0.0,0.0,0.0,0.0,224.2349853515625,224.2349853515625,S10,box,1
19,0.6333333253860474,0.0,0.0,0.0,0.0,224.0924072265625,224.0924072265625,S10,box,1
20,0.6666666865348816,0.0,0.0,0.0,0.0,223.9927520751953,223.9927520751953,S10,box,1
21,0.699999988079071,0.0,0.0,0.0,0.0,223.89942932128906,223.89942932128906,S10,box,1
22,0.7333333492279053,0.0,0.0,0.0,0.0,223.81642150878906,223.81642150878906,S10,box,1
23,0.7666666507720947,0.0,0.0,0.0,0.0,223.68673706054688,223.68673706054688,S10,box,1
24,0.800000011920929,0.0,0.0,0.0,0.0,223.43946838378906,223.43946838378906,S10,box,1
25,0.8333333134651184,0.0,0.0,0.0,0.0,223.09429931640625,223.09429931640625,S10,box,1
26,0.8666666746139526,0.0,0.0,0.0,0.0,222.6151580810547,222.6151580810547,S10,box,1
27,0.8999999761581421,0.0,0.0,0.0,0.0,222.08465576171875,222.08465576171875,S10,box,1
28,0.9333333373069763,0.0,0.0,0.0,0.0,221.47438049316406,221.47438049316406,S10,box,1
29,0.9666666388511658,0.0,0.0,0.0,0.0,219.65968322753906,219.65968322753906,S10,box,1
0,0.0,0.0,0.0,nan,nan,222.98553466796875,222.98553466796875,S10,jump,11
1,0.03333333507180214,0.0,0.0,0.0,0.0,223.6427001953125,223.6427001953125,S10,jump,11
2,0.06666667014360428,0.0,0.0,0.0,0.0,224.04473876953125,224.04473876953125,S10,jump,11
3,0.10000000149011612,0.0,0.0,0.0,0.0,224.26271057128906,224.26271057128906,S10,jump,11
4,0.13333334028720856,0.0,0.0,0.0,0.0,224.5672149658203,224.5672149658203,S10,jump,11
5,0.1666666716337204,0.0,0.0,0.0,0.0,224.9143524169922,224.9143524169922,S10,jump,11
6,0.20000000298023224,0.0,0.0,0.0,0.0,225.27857971191406,225.27857971191406,S10,jump,11
7,0.23333333432674408,0.0,0.0,0.0,0.0,225.62741088867188,225.62741088867188,S10,jump,11
8,0.2666666805744171,0.0,0.0,0.0,0.0,225.72247314453125,225.72247314453125,S10,jump,11
9,0.30000001192092896,0.0,0.0,0.0,0.0,225.6881561279297,225.6881561279297,S10,jump,11
10,0.3333333432674408,0.0,0.0,0.0,0.0,225.62066650390625,225.62066650390625,S10,jump,11
11,0.36666667461395264,0.0,0.0,0.0,0.0,225.54119873046875,225.54119873046875,S10,jump,11
12,0.4000000059604645,0.0,0.0,0.0,0.0,225.40567016601562,225.40567016601562,S10,jump,11
13,0.4333333373069763,0.0,0.0,0.0,0.0,225.3573455810547,225.3573455810547,S10,jump,11
14,0.46666666865348816,0.0,0.0,0.0,0.0,225.2784423828125,225.2784423828125,S10,jump,11
15,0.5,0.0,0.0,0.0,0.0,225.20582580566406,225.20582580566406,S10,jump,11
16,0.5333333611488342,0.0,0.0,0.0,0.0,225.09002685546875,225.09002685546875,S10,jump,11
17,0.5666666626930237,0.0,0.0,0.0,0.0,224.9665069580078,224.9665069580078,S10,jump,11
18,0.6000000238418579,0.0,0.0,0.0,0.0,224.85446166992188,224.85446166992188,S10,jump,11
19,0.6333333253860474,0.0,0.0,0.0,0.0,224.73272705078125,224.73272705078125,S10,jump,11
20,0.6666666865348816,0.0,0.0,0.0,0.0,224.60324096679688,224.60324096679688,S10,jump,11
21,0.699999988079071,0.0,0.0,0.0,0.0,224.50656127929688,224.50656127929688,S10,jump,11
22,0.7333333492279053,0.0,0.0,0.0,0.0,224.4145050048828,224.4145050048828,S10,jump,11
23,0.7666666507720947,0.0,0.0,0.0,0.0,224.26614379882812,224.26614379882812,S10,jump,11
24,0.800000011920929,0.0,0.0,0.0,0.0,224.0550537109375,224.0550537109375,S10,jump,11
25,0.8333333134651184,0.0,0.0,0.0,0.0,223.69241333007812,223.69241333007812,S10,jump,11
26,0.8666666746139526,0.0,0.0,0.0,0.0,223.30197143554688,223.30197143554688,S10,jump,11
27,0.8999999761581421,0.0,0.0,0.0,0.0,222.85714721679688,222.85714721679688,S10,jump,11
28,0.9333333373069763,0.0,0.0,0.0,0.0,222.40016174316406,222.40016174316406,S10,jump,11
29,0.9666666388511658,0.0,0.0,0.0,0.0,220.85879516601562,220.85879516601562,S10,jump,11
0,0.0,0.0,0.0,nan,nan,222.94581604003906,222.94581604003906,S10,run,21
