step,t,delta_norm_mean,delta_norm_std,cos_prev_mean,cos_prev_std,vc_norm_mean,vu_norm_mean,subj,action,seed
0,0.0,0.0,0.0,nan,nan,222.78509521484375,222.78509521484375,S10,box,0
1,0.012500000186264515,0.0,0.0,0.0,0.0,223.046875,223.046875,S10,box,0
2,0.02500000037252903,0.0,0.0,0.0,0.0,223.29664611816406,223.29664611816406,S10,box,0
3,0.03750000149011612,0.0,0.0,0.0,0.0,223.5091094970703,223.5091094970703,S10,box,0
4,0.05000000074505806,0.0,0.0,0.0,0.0,223.69483947753906,223.69483947753906,S10,box,0
5,0.0625,0.0,0.0,0.0,0.0,223.85108947753906,223.85108947753906,S10,box,0
6,0.07500000298023224,0.0,0.0,0.0,0.0,224.01564025878906,224.01564025878906,S10,box,0
7,0.08749999850988388,0.0,0.0,0.0,0.0,224.1551055908203,224.1551055908203,S10,box,0
8,0.10000000149011612,0.0,0.0,0.0,0.0,224.31704711914062,224.31704711914062,S10,box,0
9,0.11249999701976776,0.0,0.0,0.0,0.0,224.45623779296875,224.45623779296875,S10,box,0
10,0.125,0.0,0.0,0.0,0.0,224.67233276367188,224.67233276367188,S10,box,0
11,0.13750000298023224,0.0,0.0,0.0,0.0,224.79171752929688,224.79171752929688,S10,box,0
12,0.15000000596046448,0.0,0.0,0.0,0.0,224.9476318359375,224.9476318359375,S10,box,0
13,0.16249999403953552,0.0,0.0,0.0,0.0,225.13198852539062,225.13198852539062,S10,box,0
14,0.17499999701976776,0.0,0.0,0.0,0.0,225.27459716796875,225.27459716796875,S10,box,0
15,0.1875,0.0,0.0,0.0,0.0,225.40072631835938,225.40072631835938,S10,box,0
16,0.20000000298023224,0.0,0.0,0.0,0.0,225.46994018554688,225.46994018554688,S10,box,0
17,0.21250000596046448,0.0,0.0,0.0,0.0,225.55303955078125,225.55303955078125,S10,box,0
18,0.22499999403953552,0.0,0.0,0.0,0.0,225.6313934326172,225.6313934326172,S10,box,0
19,0.23749999701976776,0.0,0.0,0.0,0.0,225.6543426513672,225.6543426513672,S10,box,0
20,0.25,0.0,0.0,0.0,0.0,225.71469116210938,225.71469116210938,S10,box,0
21,0.26249998807907104,0.0,0.0,0.0,0.0,225.7131805419922,225.7131805419922,S10,box,0
22,0.2750000059604645,0.0,0.0,0.0,0.0,225.70669555664062,225.70669555664062,S10,box,0
23,0.2874999940395355,0.0,0.0,0.0,0.0,225.6990509033203,225.6990509033203,S10,box,0
24,0.30000001192092896,0.0,0.0,0.0,0.0,225.67921447753906,225.67921447753906,S10,box,0
25,0.3125,0.0,0.0,0.0,0.0,225.6555938720703,225.6555938720703,S10,box,0
26,0.32499998807907104,0.0,0.0,0.0,0.0,225.60787963867188,225.60787963867188,S10,box,0
27,0.3375000059604645,0.0,0.0,0.0,0.0,225.54957580566406,225.54957580566406,S10,box,0
28,0.3499999940395355,0.0,0.0,0.0,0.0,225.51242065429688,225.51242065429688,S10,box,0
29,0.36250001192092896,0.0,0.0,0.0,0.0,225.50018310546875,225.50018310546875,S10,box,0
30,0.375,0.0,0.0,0.0,0.0,225.4601593017578,225.4601593017578,S10,box,0
31,0.38749998807907104,0.0,0.0,0.0,0.0,225.43409729003906,225.43409729003906,S10,box,0
32,0.4000000059604645,0.0,0.0,0.0,0.0,225.35592651367188,225.35592651367188,S10,box,0
33,0.4124999940395355,0.0,0.0,0.0,0.0,225.2839813232422,225.2839813232422,S10,box,0
34,0.42500001192092896,0.0,0.0,0.0,0.0,225.22476196289062,225.22476196289062,S10,box,0
35,0.4375,0.0,0.0,0.0,0.0,225.18341064453125,225.18341064453125,S10,box,0
36,0.44999998807907104,0.0,0.0,0.0,0.0,225.13595581054688,225.13595581054688,S10,box,0
37,0.4625000059604645,0.0,0.0,0.0,0.0,225.12051391601562,225.12051391601562,S10,box,0
38,0.4749999940395355,0.0,0.0,0.0,0.0,225.06546020507812,225.06546020507812,S10,box,0
39,0.48750001192092896,0.0,0.0,0.0,0.0,225.05978393554688,225.05978393554688,S10,box,0
40,0.5,0.0,0.0,0.0,0.0,225.0248260498047,225.0248260498047,S10,box,0
41,0.512499988079071,0.0,0.0,0.0,0.0,224.99502563476562,224.99502563476562,S10,box,0
42,0.5249999761581421,0.0,0.0,0.0,0.0,224.94107055664062,224.94107055664062,S10,box,0
43,0.5375000238418579,0.0,0.0,0.0,0.0,224.8895263671875,224.8895263671875,S10,box,0
44,0.550000011920929,0.0,0.0,0.0,0.0,224.8408203125,224.8408203125,S10,box,0
45,0.5625,0.0,0.0,0.0,0.0,224.74591064453125,224.74591064453125,S10,box,0
46,0.574999988079071,0.0,0.0,0.0,0.0,224.67872619628906,224.67872619628906,S10,box,0
47,0.5874999761581421,0.0,0.0,0.0,0.0,224.63037109375,224.63037109375,S10,box,0
48,0.6000000238418579,0.0,0.0,0.0,0.0,224.59201049804688,224.59201049804688,S10,box,0
49,0.612500011920929,0.0,0.0,0.0,0.0,224.5355224609375,224.5355224609375,S10,box,0
50,0.625,0.0,0.0,0.0,0.0,224.47793579101562,224.47793579101562,S10,box,0
51,0.637499988079071,0.0,0.0,0.0,0.0,224.43063354492188,224.43063354492188,S10,box,0
52,0.6499999761581421,0.0,0.0,0.0,0.0,224.36627197265625,224.36627197265625,S10,box,0
53,0.6625000238418579,0.0,0.0,0.0,0.0,224.3105926513672,224.3105926513672,S10,box,0
54,0.675000011920929,0.0,0.0,0.0,0.0,224.25723266601562,224.25723266601562,S10,box,0
55,0.6875,0.0,0.0,0.0,0.0,224.21127319335938,224.21127319335938,S10,box,0
56,0.699999988079071,0.0,0.0,0.0,0.0,224.17018127441406,224.17018127441406,S10,box,0
57,0.7124999761581421,0.0,0.0,0.0,0.0,224.09478759765625,224.09478759765625,S10,box,0
58,0.7250000238418579,0.0,0.0,0.0,0.0,224.0557861328125,224.0557861328125,S10,box,0
59,0.737500011920929,0.0,0.0,0.0,0.0,223.99954223632812,223.99954223632812,S10,box,0
60,0.75,0.0,0.0,0.0,0.0,223.93817138671875,223.93817138671875,S10,box,0
61,0.762499988079071,0.0,0.0,0.0,0.0,223.8677978515625,223.8677978515625,S10,box,0
62,0.7749999761581421,0.0,0.0,0.0,0.0,223.8057861328125,223.8057861328125,S10,box,0
63,0.7875000238418579,0.0,0.0,0.0,0.0,223.7117462158203,223.7117462158203,S10,box,0
64,0.800000011920929,0.0,0.0,0.0,0.0,223.60903930664062,223.60903930664062,S10,box,0
65,0.8125,0.0,0.0,0.0,0.0,223.48382568359375,223.48382568359375,S10,box,0
66,0.824999988079071,0.0,0.0,0.0,0.0,223.33935546875,223.33935546875,S10,box,0
67,0.8374999761581421,0.0,0.0,0.0,0.0,223.23138427734375,223.23138427734375,S10,box,0
68,0.8500000238418579,0.0,0.0,0.0,0.0,223.07077026367188,223.07077026367188,S10,box,0
69,0.862500011920929,0.0,0.0,0.0,0.0,222.92225646972656,222.92225646972656,S10,box,0
70,0.875,0.0,0.0,0.0,0.0,222.75906372070312,222.75906372070312,S10,box,0
71,0.887499988079071,0.0,0.0,0.0,0.0,222.598388671875,222.598388671875,S10,box,0
72,0.8999999761581421,0.0,0.0,0.0,0.0,222.43548583984375,222.43548583984375,S10,box,0
73,0.9125000238418579,0.0,0.0,0.0,0.0,222.27699279785156,222.27699279785156,S10,box,0
74,0.925000011920929,0.0,0.0,0.0,0.0,222.10231018066406,222.10231018066406,S10,box,0
75,0.9375,0.0,0.0,0.0,0.0,221.88543701171875,221.88543701171875,S10,box,0
76,0.949999988079071,0.0,0.0,0.0,0.0,221.47511291503906,221.47511291503906,S10,box,0
77,0.9624999761581421,0.0,0.0,0.0,0.0,220.5707550048828,220.5707550048828,S10,box,0
78,0.9750000238418579,0.0,0.0,0.0,0.0,218.36502075195312,218.36502075195312,S10,box,0
79,0.987500011920929,0.0,0.0,0.0,0.0,209.79127502441406,209.79127502441406,S10,box,0
0,0.0,0.0,0.0,nan,nan,223.01846313476562,223.01846313476562,S10,jump,10
1,0.012500000186264515,0.0,0.0,0.0,0.0,223.2672119140625,223.2672119140625,S10,jump,10
2,0.02500000037252903,0.0,0.0,0.0,0.0,223.46884155273438,223.46884155273438,S10,jump,10
3,0.03750000149011612,0.0,0.0,0.0,0.0,223.655517578125,223.655517578125,S10,jump,10
4,0.05000000074505806,0.0,0.0,0.0,0.0,223.8050994873047,223.8050994873047,S10,jump,10
5,0.0625,0.0,0.0,0.0,0.0,223.90780639648438,223.90780639648438,S10,jump,10
6,0.07500000298023224,0.0,0.0,0.0,0.0,224.0471954345703,224.0471954345703,S10,jump,10
7,0.08749999850988388,0.0,0.0,0.0,0.0,224.15325927734375,224.15325927734375,S10,jump,10
8,0.10000000149011612,0.0,0.0,0.0,0.0,224.25172424316406,224.25172424316406,S10,jump,10
9,0.11249999701976776,0.0,0.0,0.0,0.0,224.3885040283203,224.3885040283203,S10,jump,10
10,0.125,0.0,0.0,0.0,0.0,224.55026245117188,224.55026245117188,S10,jump,10
11,0.13750000298023224,0.0,0.0,0.0,0.0,224.6687774658203,224.6687774658203,S10,jump,10
12,0.15000000596046448,0.0,0.0,0.0,0.0,224.72836303710938,224.72836303710938,S10,jump,10
13,0.16249999403953552,0.0,0.0,0.0,0.0,224.8430633544922,224.8430633544922,S10,jump,10
14,0.17499999701976776,0.0,0.0,0.0,0.0,224.94577026367188,224.94577026367188,S10,jump,10
15,0.1875,0.0,0.0,0.0,0.0,224.99183654785156,224.99183654785156,S10,jump,10
16,0.20000000298023224,0.0,0.0,0.0,0.0,225.0843963623047,225.0843963623047,S10,jump,10
17,0.21250000596046448,0.0,0.0,0.0,0.0,225.16871643066406,225.16871643066406,S10,jump,10
18,0.22499999403953552,0.0,0.0,0.0,0.0,225.2774658203125,225.2774658203125,S10,jump,10
19,0.23749999701976776,0.0,0.0,0.0,0.0,225.32449340820312,225.32449340820312,S10,jump,10
20,0.25,0.0,0.0,0.0,0.0,225.3762969970703,225.3762969970703,S10,jump,10
21,0.26249998807907104,0.0,0.0,0.0,0.0,225.3826141357422,225.3826141357422,S10,jump,10
22,0.2750000059604645,0.0,0.0,0.0,0.0,225.4059295654297,225.4059295654297,S10,jump,10
23,0.2874999940395355,0.0,0.0,0.0,0.0,225.3865966796875,225.3865966796875,S10,jump,10
24,0.30000001192092896,0.0,0.0,0.0,0.0,225.38421630859375,225.38421630859375,S10,jump,10
25,0.3125,0.0,0.0,0.0,0.0,225.41204833984375,225.41204833984375,S10,jump,10
26,0.32499998807907104,0.0,0.0,0.0,0.0,225.3677215576172,225.3677215576172,S10,jump,10
27,0.3375000059604645,0.0,0.0,0.0,0.0,225.378662109375,225.378662109375,S10,jump,10
28,0.3499999940395355,0.0,0.0,0.0,0.0,225.34913635253906,225.34913635253906,S10,jump,10
29,0.36250001192092896,0.0,0.0,0.0,0.0,225.3121337890625,225.3121337890625,S10,jump,10
30,0.375,0.0,0.0,0.0,0.0,225.2855682373047,225.2855682373047,S10,jump,10
31,0.38749998807907104,0.0,0.0,0.0,0.0,225.24087524414062,225.24087524414062,S10,jump,10
32,0.4000000059604645,0.0,0.0,0.0,0.0,225.18844604492188,225.18844604492188,S10,jump,10
33,0.4124999940395355,0.0,0.0,0.0,0.0,225.13491821289062,225.13491821289062,S10,jump,10
34,0.42500001192092896,0.0,0.0,0.0,0.0,225.0760498046875,225.0760498046875,S10,jump,10
35,0.4375,0.0,0.0,0.0,0.0,225.0276336669922,225.0276336669922,S10,jump,10
36,0.44999998807907104,0.0,0.0,0.0,0.0,224.9954071044922,224.9954071044922,S10,jump,10
37,0.4625000059604645,0.0,0.0,0.0,0.0,224.9618377685547,224.9618377685547,S10,jump,10
38,0.4749999940395355,0.0,0.0,0.0,0.0,224.9300079345703,224.9300079345703,S10,jump,10
39,0.48750001192092896,0.0,0.0,0.0,0.0,224.8936767578125,224.8936767578125,S10,jump,10
40,0.5,0.0,0.0,0.0,0.0,224.88653564453125,224.88653564453125,S10,jump,10
41,0.512499988079071,0.0,0.0,0.0,0.0,224.85174560546875,224.85174560546875,S10,jump,10
42,0.5249999761581421,0.0,0.0,0.0,0.0,224.80471801757812,224.80471801757812,S10,jump,10
43,0.5375000238418579,0.0,0.0,0.0,0.0,224.76312255859375,224.76312255859375,S10,jump,10
44,0.550000011920929,0.0,0.0,0.0,0.0,224.7136688232422,224.7136688232422,S10,jump,10
45,0.5625,0.0,0.0,0.0,0.0,224.63958740234375,224.63958740234375,S10,jump,10
46,0.574999988079071,0.0,0.0,0.0,0.0,224.59298706054688,224.59298706054688,S10,jump,10
47,0.5874999761581421,0.0,0.0,0.0,0.0,224.5500030517578,224.5500030517578,S10,jump,10
48,0.6000000238418579,0.0,0.0,0.0,0.0,224.50941467285156,224.50941467285156,S10,jump,10
49,0.612500011920929,0.0,0.0,0.0,0.0,224.43988037109375,224.43988037109375,S10,jump,10
50,0.625,0.0,0.0,0.0,0.0,224.39251708984375,224.39251708984375,S10,jump,10
51,0.637499988079071,0.0,0.0,0.0,0.0,224.34808349609375,224.34808349609375,S10,jump,10
52,0.6499999761581421,0.0,0.0,0.0,0.0,224.28631591796875,224.28631591796875,S10,jump,10
53,0.6625000238418579,0.0,0.0,0.0,0.0,224.22897338867188,224.22897338867188,S10,jump,10
54,0.675000011920929,0.0,0.0,0.0,0.0,224.1693878173828,224.1693878173828,S10,jump,10
55,0.6875,0.0,0.0,0.0,0.0,224.14517211914062,224.14517211914062,S10,jump,10
56,0.699999988079071,0.0,0.0,0.0,0.0,224.0909881591797,224.0909881591797,S10,jump,10
57,0.7124999761581421,0.0,0.0,0.0,0.0,224.0503692626953,224.0503692626953,S10,jump,10
