step,t,delta_norm_mean,delta_norm_std,cos_prev_mean,cos_prev_std,vc_norm_mean,vu_norm_mean,subj,action,seed
0,0.0,0.0,0.0,nan,nan,222.7668914794922,222.7668914794922,S10,box,2
1,0.019999999552965164,0.0,0.0,0.0,0.0,223.1443328857422,223.1443328857422,S10,box,2
2,0.03999999910593033,0.0,0.0,0.0,0.0,223.41542053222656,223.41542053222656,S10,box,2
3,0.05999999865889549,0.0,0.0,0.0,0.0,223.64862060546875,223.64862060546875,S10,box,2
4,0.07999999821186066,0.0,0.0,0.0,0.0,223.7544708251953,223.7544708251953,S10,box,2
5,0.10000000149011612,0.0,0.0,0.0,0.0,223.94264221191406,223.94264221191406,S10,box,2
6,0.11999999731779099,0.0,0.0,0.0,0.0,224.07838439941406,224.07838439941406,S10,box,2
7,0.14000000059604645,0.0,0.0,0.0,0.0,224.24220275878906,224.24220275878906,S10,box,2
8,0.1599999964237213,0.0,0.0,0.0,0.0,224.4339141845703,224.4339141845703,S10,box,2
9,0.18000000715255737,0.0,0.0,0.0,0.0,224.58351135253906,224.58351135253906,S10,box,2
10,0.20000000298023224,0.0,0.0,0.0,0.0,224.7357177734375,224.7357177734375,S10,box,2
11,0.2199999988079071,0.0,0.0,0.0,0.0,224.87322998046875,224.87322998046875,S10,box,2
12,0.23999999463558197,0.0,0.0,0.0,0.0,225.01339721679688,225.01339721679688,S10,box,2
13,0.25999999046325684,0.0,0.0,0.0,0.0,225.0740509033203,225.0740509033203,S10,box,2
14,0.2800000011920929,0.0,0.0,0.0,0.0,225.11402893066406,225.11402893066406,S10,box,2
15,0.30000001192092896,0.0,0.0,0.0,0.0,225.1788330078125,225.1788330078125,S10,box,2
16,0.3199999928474426,0.0,0.0,0.0,0.0,225.17213439941406,225.17213439941406,S10,box,2
17,0.3400000035762787,0.0,0.0,0.0,0.0,225.1203155517578,225.1203155517578,S10,box,2
18,0.36000001430511475,0.0,0.0,0.0,0.0,225.10511779785156,225.10511779785156,S10,box,2
19,0.3799999952316284,0.0,0.0,0.0,0.0,225.0448455810547,225.0448455810547,S10,box,2
20,0.4000000059604645,0.0,0.0,0.0,0.0,225.0118408203125,225.0118408203125,S10,box,2
21,0.41999998688697815,0.0,0.0,0.0,0.0,224.9353790283203,224.9353790283203,S10,box,2
22,0.4399999976158142,0.0,0.0,0.0,0.0,224.83026123046875,224.83026123046875,S10,box,2
23,0.46000000834465027,0.0,0.0,0.0,0.0,224.7480926513672,224.7480926513672,S10,box,2
24,0.47999998927116394,0.0,0.0,0.0,0.0,224.7232666015625,224.7232666015625,S10,box,2
