step,t,delta_norm_mean,delta_norm_std,cos_prev_mean,cos_prev_std,vc_norm_mean,vu_norm_mean,subj,action,seed
0,0.0,0.0,0.0,nan,nan,222.9792938232422,222.9792938232422,S10,box,1
1,0.019999999552965164,0.0,0.0,0.0,0.0,223.3662872314453,223.3662872314453,S10,box,1
2,0.03999999910593033,0.0,0.0,0.0,0.0,223.66049194335938,223.66049194335938,S10,box,1
3,0.05999999865889549,0.0,0.0,0.0,0.0,223.8613739013672,223.8613739013672,S10,box,1
4,0.07999999821186066,0.0,0.0,0.0,0.0,223.97714233398438,223.97714233398438,S10,box,1
5,0.10000000149011612,0.0,0.0,0.0,0.0,224.09939575195312,224.09939575195312,S10,box,1
6,0.11999999731779099,0.0,0.0,0.0,0.0,224.20059204101562,224.20059204101562,S10,box,1
7,0.14000000059604645,0.0,0.0,0.0,0.0,224.3441162109375,224.3441162109375,S10,box,1
8,0.1599999964237213,0.0,0.0,0.0,0.0,224.61880493164062,224.61880493164062,S10,box,1
9,0.18000000715255737,0.0,0.0,0.0,0.0,224.8441162109375,224.8441162109375,S10,box,1
10,0.20000000298023224,0.0,0.0,0.0,0.0,224.98626708984375,224.98626708984375,S10,box,1
11,0.2199999988079071,0.0,0.0,0.0,0.0,225.05679321289062,225.05679321289062,S10,box,1
12,0.23999999463558197,0.0,0.0,0.0,0.0,225.1421356201172,225.1421356201172,S10,box,1
13,0.25999999046325684,0.0,0.0,0.0,0.0,225.2066192626953,225.2066192626953,S10,box,1
14,0.2800000011920929,0.0,0.0,0.0,0.0,225.27651977539062,225.27651977539062,S10,box,1
15,0.30000001192092896,0.0,0.0,0.0,0.0,225.24908447265625,225.24908447265625,S10,box,1
16,0.3199999928474426,0.0,0.0,0.0,0.0,225.20040893554688,225.20040893554688,S10,box,1
17,0.3400000035762787,0.0,0.0,0.0,0.0,225.17034912109375,225.17034912109375,S10,box,1
18,0.36000001430511475,0.0,0.0,0.0,0.0,225.08755493164062,225.08755493164062,S10,box,1
19,0.3799999952316284,0.0,0.0,0.0,0.0,225.0343475341797,225.0343475341797,S10,box,1
20,0.4000000059604645,0.0,0.0,0.0,0.0,224.97824096679688,224.97824096679688,S10,box,1
21,0.41999998688697815,0.0,0.0,0.0,0.0,224.94354248046875,224.94354248046875,S10,box,1
22,0.4399999976158142,0.0,0.0,0.0,0.0,224.90724182128906,224.90724182128906,S10,box,1
23,0.46000000834465027,0.0,0.0,0.0,0.0,224.84207153320312,224.84207153320312,S10,box,1
24,0.47999998927116394,0.0,0.0,0.0,0.0,224.7760467529297,224.7760467529297,S10,box,1
25,0.5,0.0,0.0,0.0,0.0,224.71815490722656,224.71815490722656,S10,box,1
26,0.5199999809265137,0.0,0.0,0.0,0.0,224.6389617919922,224.6389617919922,S10,box,1
27,0.5400000214576721,0.0,0.0,0.0,0.0,224.54473876953125,224.54473876953125,S10,box,1
28,0.5600000023841858,0.0,0.0,0.0,0.0,224.45729064941406,224.45729064941406,S10,box,1
29,0.5799999833106995,0.0,0.0,0.0,0.0,224.37542724609375,224.37542724609375,S10,box,1
30,0.6000000238418579,0.0,0.0,0.0,0.0,224.30996704101562,224.30996704101562,S10,box,1
31,0.6200000047683716,0.0,0.0,0.0,0.0,224.22853088378906,224.22853088378906,S10,box,1
32,0.6399999856948853,0.0,0.0,0.0,0.0,224.1573486328125,224.1573486328125,S10,box,1
33,0.6600000262260437,0.0,0.0,0.0,0.0,224.0703582763672,224.0703582763672,S10,box,1
34,0.6800000071525574,0.0,0.0,0.0,0.0,223.9983673095703,223.9983673095703,S10,box,1
35,0.699999988079071,0.0,0.0,0.0,0.0,223.94227600097656,223.94227600097656,S10,box,1
36,0.7200000286102295,0.0,0.0,0.0,0.0,223.89154052734375,223.89154052734375,S10,box,1
37,0.7400000095367432,0.0,0.0,0.0,0.0,223.81069946289062,223.81069946289062,S10,box,1
38,0.7599999904632568,0.0,0.0,0.0,0.0,223.74659729003906,223.74659729003906,S10,box,1
39,0.7799999713897705,0.0,0.0,0.0,0.0,223.63809204101562,223.63809204101562,S10,box,1
40,0.800000011920929,0.0,0.0,0.0,0.0,223.48895263671875,223.48895263671875,S10,box,1
41,0.8199999928474426,0.0,0.0,0.0,0.0,223.3009033203125,223.3009033203125,S10,box,1
42,0.8399999737739563,0.0,0.0,0.0,0.0,223.06341552734375,223.06341552734375,S10,box,1
43,0.8600000143051147,0.0,0.0,0.0,0.0,222.81256103515625,222.81256103515625,S10,box,1
44,0.8799999952316284,0.0,0.0,0.0,0.0,222.48403930664062,222.48403930664062,S10,box,1
45,0.8999999761581421,0.0,0.0,0.0,0.0,222.20162963867188,222.20162963867188,S10,box,1
46,0.9200000166893005,0.0,0.0,0.0,0.0,221.8736114501953,221.8736114501953,S10,box,1
47,0.9399999976158142,0.0,0.0,0.0,0.0,221.41883850097656,221.41883850097656,S10,box,1
48,0.9599999785423279,0.0,0.0,0.0,0.0,220.36456298828125,220.36456298828125,S10,box,1
49,0.9800000190734863,0.0,0.0,0.0,0.0,216.5906219482422,216.5906219482422,S10,box,1
0,0.0,0.0,0.0,nan,nan,222.98553466796875,222.98553466796875,S10,jump,11
1,0.019999999552965164,0.0,0.0,0.0,0.0,223.40780639648438,223.40780639648438,S10,jump,11
2,0.03999999910593033,0.0,0.0,0.0,0.0,223.7280731201172,223.7280731201172,S10,jump,11
3,0.05999999865889549,0.0,0.0,0.0,0.0,223.94039916992188,223.94039916992188,S10,jump,11
4,0.07999999821186066,0.0,0.0,0.0,0.0,224.1045684814453,224.1045684814453,S10,jump,11
5,0.10000000149011612,0.0,0.0,0.0,0.0,224.2417449951172,224.2417449951172,S10,jump,11
6,0.11999999731779099,0.0,0.0,0.0,0.0,224.42007446289062,224.42007446289062,S10,jump,11
7,0.14000000059604645,0.0,0.0,0.0,0.0,224.7044219970703,224.7044219970703,S10,jump,11
8,0.1599999964237213,0.0,0.0,0.0,0.0,224.99798583984375,224.99798583984375,S10,jump,11
9,0.18000000715255737,0.0,0.0,0.0,0.0,225.2339324951172,225.2339324951172,S10,jump,11
10,0.20000000298023224,0.0,0.0,0.0,0.0,225.3853302001953,225.3853302001953,S10,jump,11
