step,t,delta_norm_mean,delta_norm_std,cos_prev_mean,cos_prev_std,vc_norm_mean,vu_norm_mean,subj,action,seed
0,0.0,0.2484443634748459,0.01632693223655224,nan,nan,222.9792938232422,223.03732299804688,S10,box,1
1,0.019999999552965164,0.26122617721557617,0.01805332489311695,0.7393823266029358,0.029726658016443253,223.36659240722656,223.42205810546875,S10,box,1
2,0.03999999910593033,0.28004854917526245,0.019922766834497452,0.761401891708374,0.034253448247909546,223.6611785888672,223.71337890625,S10,box,1
3,0.05999999865889549,0.30200597643852234,0.02366490475833416,0.789987325668335,0.02973039261996746,223.86251831054688,223.91082763671875,S10,box,1
4,0.07999999821186066,0.3268739581108093,0.027747340500354767,0.8162840604782104,0.025165274739265442,223.97842407226562,224.02377319335938,S10,box,1
5,0.10000000149011612,0.34799036383628845,0.033532433211803436,0.8310304284095764,0.027170883491635323,224.10052490234375,224.1431884765625,S10,box,1
6,0.11999999731779099,0.36260607838630676,0.03502758592367172,0.8470615744590759,0.021836047992110252,224.20135498046875,224.2425994873047,S10,box,1
7,0.14000000059604645,0.3723646104335785,0.03871258348226547,0.8603091835975647,0.022578680887818336,224.3448028564453,224.38514709472656,S10,box,1
8,0.1599999964237213,0.3751021921634674,0.04351113736629486,0.8662931323051453,0.027179909870028496,224.61996459960938,224.6605224609375,S10,box,1
9,0.18000000715255737,0.3725186288356781,0.050519250333309174,0.8636928796768188,0.025293827056884766,224.8450927734375,224.8865966796875,S10,box,1
10,0.20000000298023224,0.37365540862083435,0.05579838529229164,0.864861011505127,0.029213642701506615,224.9864044189453,225.02955627441406,S10,box,1
11,0.2199999988079071,0.3742794394493103,0.058298174291849136,0.8732302188873291,0.030007684603333473,225.05654907226562,225.1016082763672,S10,box,1
12,0.23999999463558197,0.37892717123031616,0.05570335313677788,0.8737088441848755,0.029978638514876366,225.1419219970703,225.18917846679688,S10,box,1
13,0.25999999046325684,0.38050001859664917,0.050905294716358185,0.8809075355529785,0.02780964970588684,225.2087860107422,225.25753784179688,S10,box,1
14,0.2800000011920929,0.3847751021385193,0.04699450358748436,0.8881649971008301,0.0240519717335701,225.28140258789062,225.33204650878906,S10,box,1
15,0.30000001192092896,0.3873966336250305,0.04692486673593521,0.8963606357574463,0.01863904669880867,225.25604248046875,225.30801391601562,S10,box,1
16,0.3199999928474426,0.3903515934944153,0.044475775212049484,0.8988869786262512,0.018216323107481003,225.20855712890625,225.2611541748047,S10,box,1
17,0.3400000035762787,0.39215561747550964,0.04358897730708122,0.9027146100997925,0.01547045074403286,225.1768798828125,225.2313690185547,S10,box,1
18,0.36000001430511475,0.3938237726688385,0.04558529704809189,0.906459391117096,0.0160451028496027,225.0938720703125,225.14935302734375,S10,box,1
19,0.3799999952316284,0.39368972182273865,0.04599739983677864,0.9095361232757568,0.016013743355870247,225.0398406982422,225.0965576171875,S10,box,1
20,0.4000000059604645,0.39549726247787476,0.04861951619386673,0.9102748036384583,0.01561243087053299,224.9835662841797,225.04141235351562,S10,box,1
21,0.41999998688697815,0.3962511420249939,0.04810543358325958,0.9139124155044556,0.015714049339294434,224.9471435546875,225.00656127929688,S10,box,1
22,0.4399999976158142,0.396301805973053,0.04637271538376808,0.9168370366096497,0.01618240773677826,224.90919494628906,224.97042846679688,S10,box,1
23,0.46000000834465027,0.3951309323310852,0.04374751076102257,0.9191030263900757,0.014446615241467953,224.8433074951172,224.90634155273438,S10,box,1
24,0.47999998927116394,0.3961998522281647,0.0457766130566597,0.9209370613098145,0.014380546286702156,224.7768096923828,224.84193420410156,S10,box,1
25,0.5,0.3948536515235901,0.04386879876255989,0.923018217086792,0.013940326869487762,224.71798706054688,224.7852325439453,S10,box,1
26,0.5199999809265137,0.3921927213668823,0.0424894280731678,0.9242361783981323,0.013219183310866356,224.6382598876953,224.70822143554688,S10,box,1
27,0.5400000214576721,0.38761937618255615,0.040516871958971024,0.9249275922775269,0.01338599156588316,224.5442657470703,224.6166534423828,S10,box,1
28,0.5600000023841858,0.38489213585853577,0.04097370430827141,0.9247639179229736,0.01412231381982565,224.45692443847656,224.53236389160156,S10,box,1
29,0.5799999833106995,0.3816449046134949,0.03896382823586464,0.9252006411552429,0.013580596074461937,224.3757781982422,224.45436096191406,S10,box,1
30,0.6000000238418579,0.37507909536361694,0.03787751868367195,0.9248610138893127,0.012932897545397282,224.3106231689453,224.39230346679688,S10,box,1
31,0.6200000047683716,0.37026312947273254,0.03704776242375374,0.924385130405426,0.012336982414126396,224.23251342773438,224.31729125976562,S10,box,1
32,0.6399999856948853,0.3658812344074249,0.0376594252884388,0.9225819110870361,0.011913100257515907,224.1645965576172,224.25259399414062,S10,box,1
33,0.6600000262260437,0.35947152972221375,0.03592146560549736,0.9207130074501038,0.012477513402700424,224.08139038085938,224.17257690429688,S10,box,1
34,0.6800000071525574,0.35527196526527405,0.033456720411777496,0.9197221994400024,0.011935535818338394,224.01454162597656,224.10885620117188,S10,box,1
35,0.699999988079071,0.34982889890670776,0.03098614141345024,0.9168558716773987,0.012029782868921757,223.96282958984375,224.0599365234375,S10,box,1
36,0.7200000286102295,0.34322017431259155,0.02919268235564232,0.9122244119644165,0.011375765316188335,223.91712951660156,224.01611328125,S10,box,1
37,0.7400000095367432,0.3388282060623169,0.026081152260303497,0.9081051349639893,0.010653739795088768,223.84085083007812,223.9409942626953,S10,box,1
38,0.7599999904632568,0.33519336581230164,0.02345632202923298,0.9045982956886292,0.011193151585757732,223.77975463867188,223.8802032470703,S10,box,1
39,0.7799999713897705,0.33306559920310974,0.021983955055475235,0.899446964263916,0.010258626192808151,223.6736297607422,223.7723388671875,S10,box,1
40,0.800000011920929,0.33199843764305115,0.018316656351089478,0.8941853046417236,0.009712561964988708,223.5254669189453,223.62020874023438,S10,box,1
41,0.8199999928474426,0.33103448152542114,0.014426592737436295,0.8876596689224243,0.008084511384367943,223.3370819091797,223.42530822753906,S10,box,1
