step,t,delta_norm_mean,delta_norm_std,cos_prev_mean,cos_prev_std,vc_norm_mean,vu_norm_mean,subj,action,seed
0,0.0,0.0,0.0,nan,nan,222.7668914794922,222.7668914794922,S10,box,2
1,0.03333333507180214,0.0,0.0,0.0,0.0,223.3477325439453,223.3477325439453,S10,box,2
2,0.06666667014360428,0.0,0.0,0.0,0.0,223.65841674804688,223.65841674804688,S10,box,2
3,0.10000000149011612,0.0,0.0,0.0,0.0,223.96270751953125,223.96270751953125,S10,box,2
4,0.13333334028720856,0.0,0.0,0.0,0.0,224.20704650878906,224.20704650878906,S10,box,2
5,0.1666666716337204,0.0,0.0,0.0,0.0,224.6233673095703,224.6233673095703,S10,box,2
6,0.20000000298023224,0.0,0.0,0.0,0.0,224.8842010498047,224.8842010498047,S10,box,2
7,0.23333333432674408,0.0,0.0,0.0,0.0,225.06185913085938,225.06185913085938,S10,box,2
8,0.2666666805744171,0.0,0.0,0.0,0.0,225.16702270507812,225.16702270507812,S10,box,2
9,0.30000001192092896,0.0,0.0,0.0,0.0,225.15158081054688,225.15158081054688,S10,box,2
10,0.3333333432674408,0.0,0.0,0.0,0.0,225.11264038085938,225.11264038085938,S10,box,2
11,0.36666667461395264,0.0,0.0,0.0,0.0,225.0229949951172,225.0229949951172,S10,box,2
12,0.4000000059604645,0.0,0.0,0.0,0.0,224.93777465820312,224.93777465820312,S10,box,2
13,0.4333333373069763,0.0,0.0,0.0,0.0,224.86563110351562,224.86563110351562,S10,box,2
14,0.46666666865348816,0.0,0.0,0.0,0.0,224.74844360351562,224.74844360351562,S10,box,2
15,0.5,0.0,0.0,0.0,0.0,224.67355346679688,224.67355346679688,S10,box,2
16,0.5333333611488342,0.0,0.0,0.0,0.0,224.56556701660156,224.56556701660156,S10,box,2
17,0.5666666626930237,0.0,0.0,0.0,0.0,224.42665100097656,224.42665100097656,S10,box,2
18,0.6000000238418579,0.0,0.0,0.0,0.0,224.28712463378906,224.28712463378906,S10,box,2
19,0.6333333253860474,0.0,0.0,0.0,0.0,224.14913940429688,224.14913940429688,S10,box,2
20,0.6666666865348816,0.0,0.0,0.0,0.0,224.01504516601562,224.01504516601562,S10,box,2
21,0.699999988079071,0.0,0.0,0.0,0.0,223.87306213378906,223.87306213378906,S10,box,2
22,0.7333333492279053,0.0,0.0,0.0,0.0,223.7401123046875,223.7401123046875,S10,box,2
23,0.7666666507720947,0.0,0.0,0.0,0.0,223.53326416015625,223.53326416015625,S10,box,2
24,0.800000011920929,0.0,0.0,0.0,0.0,223.26608276367188,223.26608276367188,S10,box,2
25,0.8333333134651184,0.0,0.0,0.0,0.0,222.8275909423828,222.8275909423828,S10,box,2
26,0.8666666746139526,0.0,0.0,0.0,0.0,222.2277374267578,222.2277374267578,S10,box,2
27,0.8999999761581421,0.0,0.0,0.0,0.0,221.56027221679688,221.56027221679688,S10,box,2
28,0.9333333373069763,0.0,0.0,0.0,0.0,220.8490753173828,220.8490753173828,S10,box,2
29,0.9666666388511658,0.0,0.0,0.0,0.0,219.00604248046875,219.00604248046875,S10,box,2
0,0.0,0.0,0.0,nan,nan,223.08010864257812,223.08010864257812,S10,jump,12
1,0.03333333507180214,0.0,0.0,0.0,0.0,223.62002563476562,223.62002563476562,S10,jump,12
2,0.06666667014360428,0.0,0.0,0.0,0.0,223.9517822265625,223.9517822265625,S10,jump,12
3,0.10000000149011612,0.0,0.0,0.0,0.0,224.05487060546875,224.05487060546875,S10,jump,12
4,0.13333334028720856,0.0,0.0,0.0,0.0,224.30731201171875,224.30731201171875,S10,jump,12
5,0.1666666716337204,0.0,0.0,0.0,0.0,224.5992431640625,224.5992431640625,S10,jump,12
6,0.20000000298023224,0.0,0.0,0.0,0.0,224.82037353515625,224.82037353515625,S10,jump,12
7,0.23333333432674408,0.0,0.0,0.0,0.0,224.96542358398438,224.96542358398438,S10,jump,12
8,0.2666666805744171,0.0,0.0,0.0,0.0,225.03077697753906,225.03077697753906,S10,jump,12
9,0.30000001192092896,0.0,0.0,0.0,0.0,225.04983520507812,225.04983520507812,S10,jump,12
10,0.3333333432674408,0.0,0.0,0.0,0.0,224.9929962158203,224.9929962158203,S10,jump,12
11,0.36666667461395264,0.0,0.0,0.0,0.0,224.90138244628906,224.90138244628906,S10,jump,12
12,0.4000000059604645,0.0,0.0,0.0,0.0,224.80108642578125,224.80108642578125,S10,jump,12
13,0.4333333373069763,0.0,0.0,0.0,0.0,224.6995086669922,224.6995086669922,S10,jump,12
14,0.46666666865348816,0.0,0.0,0.0,0.0,224.5835723876953,224.5835723876953,S10,jump,12
15,0.5,0.0,0.0,0.0,0.0,224.46786499023438,224.46786499023438,S10,jump,12
16,0.5333333611488342,0.0,0.0,0.0,0.0,224.37472534179688,224.37472534179688,S10,jump,12
17,0.5666666626930237,0.0,0.0,0.0,0.0,224.2515106201172,224.2515106201172,S10,jump,12
18,0.6000000238418579,0.0,0.0,0.0,0.0,224.14202880859375,224.14202880859375,S10,jump,12
